Code,Full_name,Data_type,Variable_description
OSN,Original_sample_name,[string],Original site name from ADP
OIC,Original_identification_code,[numeric],Unique site number
LAT,Latitude,[numeric],Latitude from original database
LONG,Longitude,[numeric],Longitude from original database
ALT,Altitude,[numeric],Elevation from original database. In meters.
SDMT,Sediment_type,[string],Sediment context as classified from original source
ACLPH,Acalypha,[numeric],
ACNx,Acanthaceae_undiff.,[numeric],
ACSt,Acanthosicyos_type,[numeric],
AIZOx,Aizoaceae_undiff.,[numeric],
ALL,Allophylus,[numeric],
ALt,Aloe_type,[numeric],
AMRTHx,Amaranthaceae_undiff.,[numeric],
ANCRx,Anacardiaceae_undiff.,[numeric],
ACTRx,Anthocerotaceae_undiff.,[numeric],
ALST,Anthocleista,[numeric],
ANTHO,Anthospermum,[numeric],
APIAx,Apiaceae_undiff.,[numeric],
APOD_d,Apodytes_dimidiata,[numeric],
AQUA,Aquatics,[numeric],
ARTM,Artemisia,[numeric],
APRG,Asparagus,[numeric],
ASTERx,Asteraceae_undiff.,[numeric],
AVCN,Avicennia,[numeric],
BARR,Barringtonia,[numeric],
BEQ _mcr,Bequaertia_mucronata,[numeric],
BQRT,Bequaertiodendron,[numeric],
BLEPHt,Blepharis_type,[numeric],
BRGX,Boraginaceae_undiff.,[numeric],
BRSt_aeth,Borassus_type_aethiopum,[numeric],
BRCHt,Brachylaena_type,[numeric],
BSTG,Brachystegia,[numeric],
BDDJt_sal,Buddleja_type_saligna,[numeric],
BURKt_afr,Burkea_type_africana,[numeric],
CMPLx,Campanulaceae_undiff.,[numeric],
CNTHt,Canthium_type,[numeric],
CAPPx,Capparidaceae_undiff.,[numeric],
CARD,Cardiospermum,[numeric],
CARYOx,Caryophyllaceae_undiff.,[numeric],
CLSTR/HIPP,Celastraceae/Hippocrateaceae,[numeric],
CELT,Celtis,[numeric],
CISTx,Cistaceae_undiff.,[numeric],
CLEO,Cleome,[numeric],
CLIFF,Cliffortia,[numeric],
CLUT,Clutia,[numeric],
COLO_mop,Colophospermum_mopane,[numeric],
COMBRx,Combretaceae_undiff.,[numeric],
COMLx,Commelinaceae_undiff.,[numeric],
COMPH,Commiphora,[numeric],
CNFRx,Coniferaceae_undiff.,[numeric],
CNVLx,Convolvulaceae undiff.,[numeric],
CRASt,Crassula_type,[numeric],
CROTt,Croton_type,[numeric],
CUPRS,Cupressaceae,[numeric],
CUSS,Cussonia,[numeric],
CYPRt,Cyperaceae_undiff.,[numeric],
DICHST,Dichrostachys,[numeric],
DIOSP,Diospyros,[numeric],
