OSN,OIC,LAT,LONG,ALT,SDMT,ACLPH,ACNx,ACSt,AIZOx,ALL,ALt,AMRTHx,ANCRx,ACTRx,ALST,ANTHO,APIAx,APOD_d,AQUA,ARTM,APRG,ASTERx,AVCN,BARR,BEQ _mcr,BQRT,BLEPHt,BRGX,BRSt_aeth,BRCHt,BSTG,BDDJt_sal,BURKt_afr,CMPLx,CNTHt,CAPPx,CARD,CARYOx,CLSTR/HIPP,CELT,CISTx,CLEO,CLIFF,CLUT,COLO_mop,COMBRx,COMLx,COMPH,CNFRx,CNVLx,CRASt,CROTt,CUPRS,CUSS,CYPRt,DICHST,DIOSP,DIPS_undiff.,DDN,DBYt,EBENx,ERICAx,EUCL,EPHRB,FGRt,GNTEIAx,GERNx,GRNM,GRWt,GRLt,GUNNt,HLRGDx,HRMNt,HTRMt,HYPR,HPSTt,ILXt,ISGL,JSTCt,LACTx,LAMx,LNDFt,LANNx,LECDx,LEGMx,LILIAx,LBSM,LORAx,LDWGt,MALVx,MRCH,MCDS_kl_t,MMSDx,MSPSt,MOHt,MONOLx,MRLt,MUTIx,MRC,MRCx,MRTH,MRS,MRS_af,MYRTx,NYCx,OLCx,OLEA,OPHGL,OXGN,PAPLx,PARKt,PSSR,PElLt,PTPH_af,PNTZt,PERIx,PTLDt,PTLDt,PHOEN,PIN,PLTG,PLMBx,POACx,PDCRP,PLGL,PLGN,POLYPDx,PORTx,PROTx,PSRL,PSDRt,PTRDx,PTRSt,RNCLx,RVLF,REST,RHAMx,RHZO,RCC,ROSAx,RUBx,RMX,RSCHt,SLXt,SALV,SAPOx,SCVL_plm,SCLCRt,SCROPHx,SRSt,SELG,SOLNx,SOLNt,SPHG,SPRCHt,SPRSx,STB,STBt,SZGMt,TMRX,TRCHNt,THYMt,TREMt_ornt,TRIB,TRILETx,TLBG,TYPH,UNID,URTIx,UTRCL,VCHL,VERNt,WELT,WIDD,ZGPH
Original_sample_name,Original_identification_code,Latitude,Longitude,Altitude,Sediment_type,Acalypha,Acanthaceae_undiff.,Acanthosicyos_type,Aizoaceae_undiff.,Allophylus,Aloe_type,Amaranthaceae_undiff.,Anacardiaceae_undiff.,Anthocerotaceae_undiff.,Anthocleista,Anthospermum,Apiaceae_undiff.,Apodytes_dimidiata,Aquatics,Artemisia,Asparagus,Asteraceae_undiff.,Avicennia,Barringtonia,Bequaertia_mucronata,Bequaertiodendron,Blepharis_type,Boraginaceae_undiff.,Borassus_type_aethiopum,Brachylaena_type,Brachystegia,Buddleja_type_saligna,Burkea_type_africana,Campanulaceae_undiff.,Canthium_type,Capparidaceae_undiff.,Cardiospermum,Caryophyllaceae_undiff.,Celastraceae/Hippocrateaceae,Celtis,Cistaceae_undiff.,Cleome,Cliffortia,Clutia,Colophospermum_mopane,Combretaceae_undiff.,Commelinaceae_undiff.,Commiphora,Coniferaceae_undiff.,Convolvulaceae undiff.,Crassula_type,Croton_type,Cupressaceae,Cussonia,Cyperaceae_undiff.,Dichrostachys,Diospyros,Dipsaccaceae_undiff.,Dodonae,Dombeya_type,Ebenaceae_undiff.,Ericaceae_undiff.,Euclea,Euphorbiaceae,Fagara_type,Gentianaceae_undiff.,Geraniaceae_undiff.,Geranium,Grewia_type,Grielum_type,Gunnera_type,Haloragidaceae_undiff,Hermannia_type,Heteromorpha_type,Hypericum,Hypoestes_type,Ilex_type,Isglossa,Justicia_type,Lactucoideae_undiff.,Lamiaceae_undiff.,Landolfia_type,Lannea_undiff,Leucosidea_undiff,Leguminosae_undiff.,Liliaceae_undiff.,Lobostemon,Loranthaceae_undiff.,Ludwigia_type,Malvaceae_undiff.,Marchantia,Microdesmis_klainei-type,Mimosoideae_undiff,Mimusops_type,Mohria_type,Monoletes_undiff.,Morella_type,Mutisieae_undiff.,Myrica,Myricaceae_undiff.,Myrothamnus,Myrsine,Myrsine_africana,Myrtaceae_undiff.,Nyctaginaceae_undiff.,Olacaceae_undiff.,Olea,Ophioglossum,Oxygonum,Papilionoideae_undiff.,Parkinsonia_type,Passerina,Pellaea-type,Peltophorum_africanum,Pentzia_type,Periplocaceae_undiff.,Petalidium_type,Petalidium_type,Phoenix,Pinus,Plantago,Plumbaginaceae,Poaceae_undiff.,Podocarpus,Polygalaceae,Polygonum,Polypodiaceae_undiff.,Portulacaceae_undiff.,Proteaceae_undiff.,Psoralea,Psydrax_type,Pteridophyta undiff.,Pteris-type,Ranunculaceae_undiff.,Rauvolfia,Restio,Rhamnaceae_undiff.,Rhizophora,Riccia,Rosaceae_undiff.,Rubiaceae_undiff.,Rumex,Ruschia_type,Salix_type,Salvadora,Sapotaceae_undiff.,Scaevola_plumieri,Sclerocarya_type,Scrophulariaceae_undiff.,Searsia_type,Selaginella,Solanaceae_undiff.,Solanum_type,Sphangnum,Spirostachys_type,Spores_undiff,Stoebe,Stoebe_type,Syzygium_type,Tamarix,Tarchonanthus_type,Thymelaeaceae,Trema_type_orientalis,Tribulus,Triletes_undiff.,Tulbaghia,Typha,Unidentified,Urticales_undiff.,Utricularia,Vachellia,Vernonia_type,Weltwischia,Widdringtonia,Zygophyllum
10F,F9854,-27.9,22.73,1300,Filter Cour,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,0,0,4,0,0,0,0
11F,F9855,-27.7,22.69,1150,Filter Cour,0,0,0,18,0,0,12,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,15,0,0,8,0,0,0,0
12F,F9675,-27.68,22.81,1150,Filter Cour,0,1,0,3,0,0,8,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,0,8,0,0,7,0,0,0,0
13F,F9274,-29.11,24.76,1150,Filter Cour,0,1,0,3,0,0,33,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,23,0,0,5,1,0,0,12,0,0,4,0,0,0,0
14F,F9275,-29.11,24.76,1150,Filter Cour,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,0,0,6,1,0,0,8,0,0,4,0,0,0,0
15F,F9863,-29.11,24.76,1150,Filter Cour,0,0,0,3,0,0,39,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,8,0,0,5,0,0,0,0
16S,S7660,-28.21,23.78,1450,Surface soil,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0,0,18,0,0,0,0,0,0,0
17S,S9860,-28.25,24.03,1350,Surface soil,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,96,0,0,1,0,0,0,20,0,0,0,0,0,0,0
18S,S9861,-28.25,24.03,1350,Surface soil,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,10,0,0,0,0,0,0,0
