OSN,OIC,LAT,LONG,DATA_STATUS,PUBLICATION
4098,Gladiator,-21.08,14.60,Unpublished,
4130,Königstein,-21.15,14.57,Unpublished,
ASSCOT61,7164,-22.57,28.62,Unpublished,
ASSCOT62,7172,-22.59,28.54,Unpublished,
1154,Anysberg,-22.70,18.17,Unpublished,
5440,Gamsberg Pass,-23.26,16.32,Unpublished,
5438,Mirabib,-23.45,15.35,Unpublished,
ASSCOT53,8506,-23.50,30.20,Unpublished,
ASSCOT54,8580,-23.50,30.20,Unpublished,
5437,Gobabab/Mirabib,-23.51,15.24,Unpublished,
5432,Little Hunters Rest Camp,-26.02,16.25,Unpublished,
8930,Zoetvlei (floodplain),-31.50,24.27,Unpublished,
8929,Zoetvlei (pond habitat),-31.50,24.27,Unpublished,
2076,Salpeterkop,-32.47,20.84,Unpublished,
ASSCOT52,8431,-32.65,26.88,Unpublished,
ASSCOT55,8430,-32.69,26.87,Unpublished,
KLH_1,KLH_1,-27.51,22.74,Unpublished,
KLH_3,KLH_3,-27.18,22.90,Unpublished,
KLH_4,KLH_4,-27.13,22.71,Unpublished,
KLH_5,KLH_5,-27.10,22.53,Unpublished,
KLH_6,KLH_6,-27.21,22.47,Unpublished,
KLH_7,KLH_7,-27.41,22.57,Unpublished,
9995,Sterkfontein,-26.02,27.73,Published ,"Scott, L. 1995.  Pollen evidence for vegetational and climate change during the Neogene and Quaternary in Southern Africa.  In Paleoclimate and Evolution with Emphasis on Human Origins. ed. E. Vrba , G. Denton, T.C. Partridge, & L.H. Burckle, pp. 65-76. Yale: Yale University Press."
4576-8 and 4525,Orupembe combined,-18.26,12.85,Published,"Gil Romera, G., Scott, L., Marais, E. and Brook, G.A. 2007. Late Holocene environmental change in the northwestern Namib Desert margin: New fossil pollen evidence from hyrax middens. Palaeogeography, Palaeoclimatology, Palaeoecology 249: 1-17."
4520.4,Orupembe pre-1954,-18.26,12.85,Published,"Gil Romera, G., Scott, L., Marais, E. and Brook, G.A. 2007. Late Holocene environmental change in the northwestern Namib Desert margin: New fossil pollen evidence from hyrax middens. Palaeogeography, Palaeoclimatology, Palaeoecology 249: 1-17."
